Kalorien,Kohlenhydrate,Protein,Fett,Kalzium,Vitamin B12,Eisen,Jod,Vitamin C,Zink,Mehrfach-ungesättigte-Fettsäuren
32.15,0.24,1.4500000000000002,2.75,4.4,nan,0.16100000000000003,0.05500000000000001,0,0.1635,0.5990000000000001
0,0,0,0,0,0.03,0,nan,0,0,nan
0,0,0,0,0,3.0,0,nan,0,0,nan
26.0,5.97,0.6,0.325,12.5,nan,0.345,nan,13.1,0.21,0.1875
47.7,12.276000000000002,0.234,0.324,4.5,nan,0.171,nan,0.18000000000000002,0.036000000000000004,0.0936
44.2,0.0,0.0055000000000000005,4.9990000000000006,0.05,nan,0.0,nan,0.0,0.0035000000000000005,3.39245
37.4,5.7,1.5,0.8800000000000001,21.400000000000002,nan,0.759,0.25,0.42000000000000004,0.31800000000000006,0.28900000000000003
55.949999999999996,8.931,1.983,0.9975,2.4,nan,0.666,0.12,0,0.546,0.33149999999999996
17.5,4.11,0.38,0.09,15.0,nan,0.17,nan,1.8,0.1,0.0445
56.5,11.615,0.8,0.29,11.0,nan,0.325,1.2,12.06,0.11,0.1
50.0,11.64,1.05,0.05,2.5,nan,0.205,nan,7.55,0.165,0.0215
594.0,65.7,12.6,30.599999999999998,488.7,1.17,9.9,128.70000000000002,99.0,4.140000000000001,5.3999999999999995
